,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,Color:,Size:
38,5,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,comfy fit, Charcoal Heather, Large
39,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Return it., Black, Medium
40,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Returned it., Navy, Medium
41,4,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!", Charcoal Heather, X-Large
42,1,True,2017-02-08,A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",,
43,3,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,As described., Light Steel, XXX-Large
44,5,True,2017-01-23,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Very comfy for wearing at home.,,
45,5,True,2016-03-08,A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,,
46,2,True,2015-10-26,A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",,
47,3,True,2015-06-11,A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",,
48,4,True,2015-05-24,A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,,
49,5,True,2016-03-08,A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,,
50,2,True,2015-10-26,A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",,
51,3,True,2015-06-11,A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",,
52,4,True,2015-05-24,A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,,
53,5,True,2015-02-04,A36GNVEQP92OPA,B000YFSR5G,Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.", Navy, Medium
54,5,True,2017-10-25,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Good product for the price.  Used very day and no problem., Navy, X-Large
55,5,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR4W,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., Light Steel, Medium
56,4,True,2010-07-01,A3GJ3DJU1RXOHN,B000YFSR5G,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",,
57,5,True,2017-07-30,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Excellent value.  Comfortable., Light Steel, X-Large
58,5,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR4W,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well", Deep Royal, XXX-Large
59,3,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR4W,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.", Navy, Medium
60,5,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,"Fit perfectly. I bought dark grey, and they didn't fade", Charcoal Heather, Medium
61,3,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,They fit great. But they fade bad, Black, Medium
62,4,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR4W,Mark,I only give four stars because the pants have no pockets., Black, Medium
63,3,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,Average product.  As described., Deep Royal, XX-Large
64,5,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR4W,Amazon Customer,comfy fit, Charcoal Heather, Large
65,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Return it., Black, Medium
66,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Returned it., Navy, Medium
67,4,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR4W,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!", Charcoal Heather, X-Large
68,1,True,2017-02-08,A21HH0VIBKK80J,B000YFSR4W,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",,
69,3,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,As described., Light Steel, XXX-Large
70,5,True,2015-07-22,A3CNRM11BHAR1A,B0012DR1LU,DD,Havaiana's are THE BEST!!!,,
71,5,True,2014-08-06,A3CNRM11BHAR1A,B0012DR1LU,DD,Perfect color!,,
72,1,True,2018-02-19,A276HQXYS553QW,B0014F8TIU,AvidShopper,Should have listened to other reviews. The elastics does not hold up., Black/White, One Size
73,1,True,2018-02-19,A276HQXYS553QW,B0014F8TIU,AvidShopper,Constantly rolls down, White/Black, One Size
74,5,True,2017-09-26,A3BN0MRGRDKM0J,B0014F8TIU,j.morris,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!, Red/White/Blue, One Size
75,4,True,2015-10-31,A276HQXYS553QW,B0014F8TIU,AvidShopper,I just wish they would not roll down., Red/White/Blue, One Size
76,4,True,2016-01-29,A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Sadly, not a true red. It's definitely orange", Fireman (Red), One Size
77,5,True,2016-01-22,A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!", Space Hero (Blue), One Size
78,3,True,2015-07-12,A1Z8U8IPBLBEU5,B0017LD0BM,Seth Hanson,Not pretty for fashion but great around the house and work.,, 1.50
79,2,True,2015-05-21,A36GNVEQP92OPA,B0017LD0BM,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",, 2.50
80,4,True,2014-12-29,A33GD4H5O1MK6S,B0017LD0BM,phil bensinger,Excellent value,, 3.25
81,3,True,2012-12-14,A12DWXDNZQTKXQ,B0017LD0BM,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",, 2.75
82,4,True,2009-12-25,A2VR6SWVSF6K4,B0017LD0BM,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",, 2.25
83,3,True,2015-07-12,A1Z8U8IPBLBEU5,B0017LGD34,Seth Hanson,Not pretty for fashion but great around the house and work.,,
84,2,True,2015-05-21,A36GNVEQP92OPA,B0017LGD34,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",,
85,4,True,2014-12-29,A33GD4H5O1MK6S,B0017LGD34,phil bensinger,Excellent value,,
86,3,True,2012-12-14,A12DWXDNZQTKXQ,B0017LGD34,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",,
87,4,True,2009-12-25,A2VR6SWVSF6K4,B0017LGD34,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",,
88,1,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,Waaaay too BIG, Charcoal Heather, X-Large
89,5,True,2018-02-08,AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Comfortable, Deep Royal, XX-Large
90,4,True,2010-07-01,A3GJ3DJU1RXOHN,B000YFSR4W,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",,
91,5,True,2017-10-25,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Good product for the price.  Used very day and no problem., Navy, X-Large
92,5,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., Light Steel, Medium
93,1,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,Waaaay too BIG, Charcoal Heather, X-Large
94,5,True,2017-07-30,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent value.  Comfortable., Light Steel, X-Large
95,5,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well", Deep Royal, XXX-Large
96,3,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR5G,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.", Navy, Medium
97,5,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,"Fit perfectly. I bought dark grey, and they didn't fade", Charcoal Heather, Medium
98,3,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,They fit great. But they fade bad, Black, Medium
99,4,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR5G,Mark,I only give four stars because the pants have no pockets., Black, Medium
100,3,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Average product.  As described., Deep Royal, XX-Large
101,5,True,2018-02-08,AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Comfortable, Deep Royal, XX-Large
102,5,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,comfy fit, Charcoal Heather, Large
103,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Return it., Black, Medium
104,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Returned it., Navy, Medium
105,4,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!", Charcoal Heather, X-Large
106,1,True,2017-02-08,A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",,
107,3,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,As described., Light Steel, XXX-Large
108,5,True,2017-01-23,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Very comfy for wearing at home.,,
109,5,True,2016-03-08,A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,,
110,2,True,2015-10-26,A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",,
111,3,True,2015-06-11,A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",,
112,4,True,2015-05-24,A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,,
113,5,True,2016-03-08,A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,,
114,2,True,2015-10-26,A26TEJJ6YOGWMZ,B000YFSR5G,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",,
115,3,True,2015-06-11,A2J9WEIRNVTX61,B000YFSR5G,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",,
116,4,True,2015-05-24,A2UUEV4MYOJY66,B000YFSR5G,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,,
117,5,True,2015-02-04,A36GNVEQP92OPA,B000YFSR5G,Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.", Navy, Medium
118,5,True,2017-10-25,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Good product for the price.  Used very day and no problem., Navy, X-Large
119,5,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR4W,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., Light Steel, Medium
120,4,True,2010-07-01,A3GJ3DJU1RXOHN,B000YFSR5G,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",,
121,5,True,2017-07-30,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Excellent value.  Comfortable., Light Steel, X-Large
122,5,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR4W,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well", Deep Royal, XXX-Large
123,3,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR4W,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.", Navy, Medium
124,5,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,"Fit perfectly. I bought dark grey, and they didn't fade", Charcoal Heather, Medium
125,3,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,They fit great. But they fade bad, Black, Medium
126,4,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR4W,Mark,I only give four stars because the pants have no pockets., Black, Medium
127,3,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,Average product.  As described., Deep Royal, XX-Large
128,5,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR4W,Amazon Customer,comfy fit, Charcoal Heather, Large
129,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Return it., Black, Medium
130,2,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Returned it., Navy, Medium
131,4,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR4W,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!", Charcoal Heather, X-Large
132,1,True,2017-02-08,A21HH0VIBKK80J,B000YFSR4W,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",,
133,3,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,As described., Light Steel, XXX-Large
134,5,True,2015-07-22,A3CNRM11BHAR1A,B0012DR1LU,DD,Havaiana's are THE BEST!!!,,
135,5,True,2014-08-06,A3CNRM11BHAR1A,B0012DR1LU,DD,Perfect color!,,
136,1,True,2018-02-19,A276HQXYS553QW,B0014F8TIU,AvidShopper,Should have listened to other reviews. The elastics does not hold up., Black/White, One Size
137,1,True,2018-02-19,A276HQXYS553QW,B0014F8TIU,AvidShopper,Constantly rolls down, White/Black, One Size
138,5,True,2017-09-26,A3BN0MRGRDKM0J,B0014F8TIU,j.morris,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!, Red/White/Blue, One Size
139,4,True,2015-10-31,A276HQXYS553QW,B0014F8TIU,AvidShopper,I just wish they would not roll down., Red/White/Blue, One Size
140,4,True,2016-01-29,A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Sadly, not a true red. It's definitely orange", Fireman (Red), One Size
141,5,True,2016-01-22,A3HX4X3TIABWOV,B0014HA6VG,Denise A. Conte,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!", Space Hero (Blue), One Size
142,3,True,2015-07-12,A1Z8U8IPBLBEU5,B0017LD0BM,Seth Hanson,Not pretty for fashion but great around the house and work.,, 1.50
143,2,True,2015-05-21,A36GNVEQP92OPA,B0017LD0BM,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",, 2.50
144,4,True,2014-12-29,A33GD4H5O1MK6S,B0017LD0BM,phil bensinger,Excellent value,, 3.25
145,3,True,2012-12-14,A12DWXDNZQTKXQ,B0017LD0BM,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",, 2.75
146,4,True,2009-12-25,A2VR6SWVSF6K4,B0017LD0BM,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",, 2.25
147,3,True,2015-07-12,A1Z8U8IPBLBEU5,B0017LGD34,Seth Hanson,Not pretty for fashion but great around the house and work.,,
148,2,True,2015-05-21,A36GNVEQP92OPA,B0017LGD34,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",,
149,4,True,2014-12-29,A33GD4H5O1MK6S,B0017LGD34,phil bensinger,Excellent value,,
150,3,True,2012-12-14,A12DWXDNZQTKXQ,B0017LGD34,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",,
151,4,True,2009-12-25,A2VR6SWVSF6K4,B0017LGD34,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",,
152,4,True,2016-04-19,A3UMNRR89DIZRM,B001IKJOLW,Amazon Customer,Good light weight shoe...had to add insole for more support., Black/White/Anthracite/Stealth, 7 B(M) US
153,5,True,2016-04-18,AZRZ2FB7CFNOE,B001IKJOLW,Catherine Uribe,I love my tennis shoes, Black/White/Anthracite/Stealth, 8 B(M) US
154,3,True,2016-04-04,A4M7JTCBXRAT3,B001IKJOLW,Micki from FL,"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.", Black/White/Anthracite/Stealth, 9.5 B(M) US
155,5,True,2016-03-31,A2TRI54C8EMCX,B001IKJOLW,Andrea Seo B.,"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.", Black/Wolf Grey/White/Pink, 9 B(M) US
156,5,True,2016-03-28,A1WVSBL8J4ZESK,B001IKJOLW,Magu,Excelente, Cool Grey/Team Orange/White/Platinum, 7.5 D(M) US
157,2,True,2016-03-28,A2GJUMX0CRHLIN,B001IKJOLW,Amazon Customer,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again", Cool Grey/Team Orange/White/Platinum, 13 D(M) US
158,4,True,2016-03-24,A3KAX5RZ4XH9L7,B001IKJOLW,initialkl,"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.", Cool Grey/Team Orange/White/Platinum, 9 D(M) US
159,3,True,2016-03-23,A2YI41MCJB2QCV,B001IKJOLW,Elizabeth Gravesen,I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide., Black/White/Anthracite/Stealth, 8.5 B(M) US
160,5,True,2016-03-20,A3ONF0JD2UBP54,B001IKJOLW,Denise L Woodruff,Put them on and walked 3 hours with no problem! Love them! So light feeling, Bright Mango/Crimson/White/Blue, 7.5 B(M) US
161,5,True,2016-03-18,A3R09ZAUTB2PUU,B001IKJOLW,ely concepcion,excelente, Cool Grey/Team Orange/White/Platinum, 10.5 D(M) US
162,5,True,2018-04-22,A1VH37JYIIHE3F,B001IKJOLW,Margaret,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!", Black/White/Anthracite/Stealth, 7 B(M) US
163,3,True,2018-04-19,AOZHQ15OKY2ZT,B001IKJOLW,Fixalot,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.", Blue Tint/Green Glow/Hasta/White, 9 B(M) US
164,5,True,2018-04-18,A2YZERYQTLB8NG,B001IKJOLW,Lenci,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money., Black/White/Anthracite/Stealth, 9.5 B(M) US
