,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,Size:
15,1,True,2018-04-30,A2UM2UI2KVHG64,B00006L9LC,Lorie B.,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!, Small
16,1,True,2018-04-28,ADUKTDKBY4CNP,B00006L9LC,Andelika,"Made my hair brittle and dull looking, didn't do anything for the itch or dandruff.", Small
17,5,True,2018-04-28,ADW00ZRLWD3KG,B00006L9LC,Walaa,I received the shampoo because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the result from only just one wash. it cleared out the dandruff without drying my hair out. My hair felt smooth and Fresh after just the first wash. I tried aveda spray before but it was useless and waste of money, Small
18,5,True,2018-04-25,A1118RD3AJD5KH,B00006L9LC,DL,works great, 511
19,5,True,2018-04-23,AX0ZEGHH0H525,B00006L9LC,Aida A,Suffered from itchiness under my hair for couple of years. This product cured the itchiness completely. I took some 4-5 drops of it and then massaged my wet head for a minute approximately. After 2 uses noticed a considerable difference. It definitely gets the job done!, Small
20,5,True,2018-04-22,A1L0QECT7J93ZP,B00006L9LC,Elena,"Got this product for me and  my daughter. I can say 100% - it works superb on both, long curly and short straight hair.", Small
21,5,True,2018-04-21,A1VN560NNZQIR0,B00006L9LC,Shablinska,Cleansing properties are above any praise! Suprised by how good an all-organic product can be. Hair feel amazing after use., Small
22,4,True,2018-04-19,AV19Z8ZCIQM4G,B00006L9LC,Amazon Customer,Good but kind of drying, Small
23,5,True,2018-04-19,A39IK7T2K2V2KA,B00006L9LC,Sadie Sileski,"My psoriasis has been a lot less irritated now that I am swapping in this shampoo to replace my other shampoo every other wash. Not only is my hair cleaner, but my psoriasis is a lot less flared up. I am very happy with this shampoo.", Small
24,5,True,2018-04-17,AYY463Q7V3LTU,B00006L9LC,DAVID,Really good one my head feels really relaxed after chemical shampoos it's pretty big bottle.thanks for inventor., Small
25,5,True,2018-04-15,A3L40OCWS1W7R7,B00006L9LC,Yiwei Zhou,The best one Ive ever used!!!, Small
26,1,True,2018-04-13,A2M1OW141Y5WSN,B00006L9LC,Vinny,"Selenium appeared in my search results when I was looking for an organic anti-dandruff shampoo. I was super excited to see the 5 star review. I have been struggling with dandruff for past 6 years and I was really hoping this will make a difference, atleast keep the dandruff at bay for 2 days followed by a shampoo wash with Selenium. But unfortunately, it hardly keeps dandruff at bay. And to make it worse, it makes your hair super dry.", Small
27,5,True,2018-04-07,A1WGVH160JCIC,B00006L9LC,BruinGirl,I have a dry scalp and occasional dandruff. This product really helps! Leave it on for a few minutes then really lather it up and give your scalp a good scrubbing. It really works., Small
28,5,False,2018-04-07,A31URN5S2Q0UJV,B00006L9LC,Boris Jones,"Was skeptical at first. The liquid is kind of runny. However, it is absolutely awesome performance wise. Hands down the best shampoo out there. Smells great, cleans hair great and stopped me from scratching my head after using this product for a couple of times.", Small
29,5,False,2018-04-07,A2813CU4C11BIE,B00006L9LC,Alexandra,"Been looking for good shampoo that would work with my dry hair for a long time. Tried a lot of options. This is the one. Hair feels as clean as possible after use. Also, deals with dandruff problem easily. No more snowy shoulders.", Small
30,1,True,2018-04-06,A1J7I5095JBHH,B00006L9LC,Nicolette,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are false ", Small
31,5,True,2018-04-04,A2KJR83EUJJNAX,B00006L9LC,Anyag.,"It gets messy after the first few times, but clears out the head nicely. My son has no traces of eczema and very small amount of dandruff after less than two weeks of use.", Small
32,2,True,2018-04-04,A1WWZ1NKXLFYNG,B00006L9LC,v,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me., Small
33,1,True,2018-04-02,A1ZM06J2A5XGHY,B00006L9LC,Amazon Customer,Skin did not improve. Felt like using scented water., Small
34,1,True,2018-03-27,A2V608ILSK1M5R,B00006L9LC,CDART815,My product was not sealed and either used or something.. attached are pictures. Would like a refund please., Small
35,2,True,2018-03-27,A2TU781PWGS09X,B00006L9LC,Amazon Customer,Doesnt smell, one size
36,1,True,2018-03-27,A3IOV1NJ4IM2HC,B00006L9LC,E,"Throwing it away, burned my scalp.", Small
37,1,True,2018-03-21,A3IJDWW3VVLF3G,B00006L9LC,Amazon Customer,"Awful. Zero anti dandruff properties. Comes out of bottle like water, so very easy to waste. Very poor lathering, requires large quantity to lather up hair. Vague smell, not bad but also not pleasant.", Small
38,2,True,2018-03-20,A1DFI14L1LBOPJ,B00006L9LC,PrimeTime,"The shampoo is very watery, and I did not see too much of a difference in my dandruff.", Small
39,2,True,2018-03-19,A1BAZK7LSPBPEJ,B00006L9LC,Ryan Johnson,"I agree with several of the other reviewers. Feels as though Im just rubbing banana scented water through my hair and after I shower, my hair feels greesy (like when I don't use any shampoo) so I wonder if there is something fishy going on here. Read the other reviews and you'll noticed most of them have nothing to do with shampoo. DO NOT trust.", Small
40,5,True,2018-03-15,A23NSBJ5CGLWAA,B00006L9LC,Bradford J. Fleener,"A really good gentle cleanser. Always leaves my hair feeling clean, and soft. Also virtually eliminated dandruff issues where other bigger named products consistently failed.", Small
41,1,True,2018-03-13,A1WGC9NCI09T3D,B00006L9LC,ESR,"This product is a scam!  Not only does it have the consistency of water, but you need a tremendous amount for it to foam, as suggested in the instructions.  I have a shaved head and can see going through this bottle in a week or two at this pace.  To make matters worse, the my short hair was sticking up as if I had been electrocuted!  I'm going to try try this junk one more time and if I experience similar results, I'm going to try to return this trash.  BUYER BEWARE!!!", Small
42,1,True,2018-03-06,A28RTSY1TRCXLK,B00006L9LC,Patricia A. Wray,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.", Small
43,5,True,2018-03-06,A28G6HAG3I755Y,B00006L9LC,R. Taylor,Great smell and products., 281
44,5,True,2018-03-05,A29C6ZBT7HP13Q,B00006L9LC,Faith M. Pettersen,Love this product. It is the only thing that has worked on my flaky scalp. Not too heavy and the fragrance is pleasant in comparison to other products., Small
45,3,True,2018-03-01,A1CEDYAX0NG4BU,B00006L9LC,DD,Does not lather well and have not noticed a difference in my hair, Small
46,4,True,2018-02-28,A1YVFD3TLX6E22,B00006L9LC,Kelsey Hodo,"I've used a chemical shampoo for too long and my hair started breaking off! So with a lot of research I bought this! It has made my hair (which is thin with oily roots and dry ends) way stronger and shinny without being oily! It's really fantastic. I took a star away for 2 reasons, one is because the price is a bit outrages, and two is because if I use it every day my hair starts to get buildup so I have to find a clean shampoo that washes away the build up to use twice a week..", Small
47,5,True,2018-02-23,A22V1MD93T2FW9,B00006L9LC,Heather Sharp,"I bought this for my husband. Hed been having issues with dandruff, but most dandruff shampoos cause skin issues. He loves it. Its just great for his hair and skin aside from helping with the dandruff. It smells good, too. Great product. I highly recommend it and would buy it again if it were still available on the site!", Small
48,1,True,2018-02-21,A27PPA3O7PX0OH,B00006L9LC,Kayla,Arrived opened  and leaking all over the box.  Tried shampoo but didn't help at all.  Still so itchy., Small
49,5,True,2018-02-12,A2TRMX7KR6IIVA,B00006L9LC,Teri1,Came on time. She will love it!, 4-piece Gift Set
50,1,True,2018-02-11,A28MZ2SOOHMOZW,B00006L9LC,B. A. M.,"Nope. It smells like artificial bananas, and this smell does linger. It's pure liquid, there is no thickness to it at all, it's like pouring banana water on your head that lathers. It does not help with an itchy scalp either (I have psoriasis). This shampoo neither helped nor hindered my hair or scalp, made absolutely no difference (except for the banana smell). Don't waste your money.", Small
51,5,True,2018-01-31,A2IGYO5UYS44RW,B00006L9LC,Dawna Kern,I love how soft this makes my skin and the scent is amazing. When my local stored are out I can always get it at Amazon, 281
52,5,True,2018-01-06,ARZQ7AEFUXNPN,B00006L9LC,Christy,Love this perfume. Light and feminine and doesn't give me a headache like many other fragrances., 401
53,5,True,2017-12-26,A2ZZ75UB8VK31U,B00006L9LC,Bamabyrdie,Love this product because of the way it makes my hair feel and look., 25
54,5,False,2017-11-06,A39AEA8OFO8JT,B00006L9LC,SHAMS AFROZ,"I was using this shampoo from six years and found helpful restoring hair and reducing dryness of psoriasis.
But it was discontinued from three years .Why I don't know .Then I used other psoriasis  shampoos ,which didn't help .scalp still dry and hair falling down. I bought on line but came in small bottle and was costly, and was looks like doublicate not the real.", 19
55,5,True,2017-11-03,A3C46GBHLVSOEW,B00006L9LC,jv,I love this shampoo!!!!!!, 33
56,5,True,2017-10-01,A12HTKLZWLEAF5,B00006L9LC,Marcia Fairman,I have an Airbnb.  This is perfect for guests.  The price is right and I can provide shampoo with little waist.  I appreciate this product, 126
57,5,True,2017-09-28,A2D9MTWHD2BFUG,B00006L9LC,Ladychaos1,Husband loves it.... Uses it to wash his locs, 120
58,5,True,2017-09-21,AT9SW0VOLAKQD,B00006L9LC,rockwell gal,Love this shampoo.  I have been using it for years...keeps the yellow out of gray hair., 25
59,5,True,2017-09-14,A1U4MBURSADCDU,B00006L9LC,roxy sox,love this shampoo, 29
60,5,True,2017-09-06,A324UOF43Y43WY,B00006L9LC,Amazon Customer,"Great ingredients, but didn't agree with my skin", 364
61,5,True,2017-08-21,A37XI9VKWZWZKO,B00006L9LC,judith m dzyak,love it. will continue to use all products from herline, 352
62,5,True,2017-08-11,A34Z0P70GD9Y6Y,B00006L9LC,Maddy,"Very nice scrub. Not walnut or random shell pieces acting as your physical exfoliant in this product! Neither does it use plastic microbeads. Definitely cleans my face when I need to get rid of flaky skin, but it does not leave my skin tight or dry. Instead, my skin is soft and smooth - but not irritated, (I know this because my skin is not red, especially considering certain sections of my face still have healing blemishes). Will try the hair care products soon.", 561
63,5,True,2017-08-02,ASJX5CT07ZCE3,B00006L9LC,Dawn H.,I bought this shampoo to go in wedding guest gift bags who are joining us on a cruise. I wanted something that was natural and this little tube of shampoo fit the bill. I also recieved an email from the company thanking me for my purchase and thought that was a nice customer service touch. I will definitely be exploring their other products and recommend this company., 126
64,5,True,2017-07-22,A2ABCUIYJETG6Q,B00006L9LC,Elizabeth,My husband loves this soap and I love how it makes him smell. Worth the dollars!, 392
65,5,True,2017-07-11,A35GLRQ89X0WRD,B00006L9LC,Kelly,My scalp randomly starts hating any kind of product being on it and retaliates by going crazy with eczema like symptoms that seems to last forever. This is the only shampoo and conditioner that I have found that doesn't make my scalp cranky...It's a good product!, 13 Fl. Oz
66,5,True,2017-06-28,A1TEIICSK5IK0V,B00006L9LC,Ashley Carey,"I weirdly got this at a Dave & Buster's in Culver City with game tickets the first time I tried it. I had never worn powder before. That was two years ago, and I continue to wear this powder every day. It makes my complexion look so even and hides the redness I get after drinking too much coffee. Highly recommend!", 509
67,5,True,2017-06-23,A2GBIFL43U1LKJ,B00006L9LC,K.Sofia,Excellent product., 60
68,5,True,2017-06-17,A309W2EPFGXK7P,B00006L9LC,raisa poltun,thanks, 57
69,5,True,2017-06-17,A3NFELIADJMJKJ,B00006L9LC,Susie Chavez,This is one of the BEST shampoos for swimmers. I always got complements on my hair since I started using this product. Unavailable now., 4
70,5,True,2017-06-09,AJ61AXPLR0WYY,B00006L9LC,Sandra Thomas,"It's Bare Escentuals, 'nuff said!", 351
71,4,True,2017-06-01,A2N0CVZO3GPQ45,B00006L9LC,J. broder,nice, 1
72,5,True,2017-05-30,ASPQVBZP025R8,B00006L9LC,K&#039;s Amazon 10-04,"Very pleased
  Nice assortment", 4-piece Gift Set
73,5,True,2017-05-19,A2JPQVFMKT94M2,B00006L9LC,ad,"This is so handy and unique! Comes in a protective pouch, and with an extra refil. Seems like it will last a long time for those who just like a little dab of a beautiful scent.", one size
74,5,True,2017-05-15,A3JJ3GK8Q39TDE,B00006L9LC,Katrina Jones,Use regularly. love this product., 6
75,5,True,2017-05-13,A3P7FOLR5SGXYN,B00006L9LC,Medi,Great, 13
76,5,True,2017-05-10,A2U7BI3N4YP26B,B00006L9LC,Amazon Customer,"Biolage is a great product.
Thank you for providing the product for me.
All Biolage products are wonderful.
Thank you!", 10.1 oz.
77,5,True,2017-05-06,APQ1FY4E25XEP,B00006L9LC,Lisa M.,"This pressed powder goes on like silk, so light weight but covers well. I don't like to use a heavy powder that shows all the wrinkles, this one is just right!", 509
78,5,True,2017-05-04,AKQ9DH3HRPHW3,B00006L9LC,Anuschka Light,"This is just adorable compact fragrance. It comes in a gorgeous silver compact. A cute carry pouch. And to my surprise- a refill. I am Uber pleased with this purchase. Oh and the D&G Lifht Blue is one of my forever favorite fragrances.

Love", one size
79,5,True,2017-04-28,A10ZJZNO4DAVB,B00006L9LC,Loeyd,What the hubby wanted, 43
80,5,True,2017-04-25,A37C3532V0OGK4,B00006L9LC,Henrietta,"Took care of my flaky scalp, a problem I've had for years.", 79
81,5,False,2017-04-17,A3JMIBCH90HGWG,B00006L9LC,Amazon Customer,"This and the matching conditioner saved my scalp. My hair was falling out due to a very dry scalp. Nothing else I tried would cure my issue. My head literally hurt. After one use, my scalp had real relief. My hair looks beautiful after just two washes. I'm definitely going to buy this again. The smell is not great, but you'll look past it to save your scalp. It is one of the only products that is 100% truly organic. No added chemicals. Very gentle and effective. I highly recommend this product.", 79
82,4,True,2017-04-07,A1C3SRDH9HVEI2,B00006L9LC,Iris Remon,Have been using the product since I got my first as a gift and I like it.  I have dry coarse hair and it helps to soften it and take away the dullness., 6
83,5,True,2017-04-06,A3LGZDAVZSFO0M,B00006L9LC,Robin L. Bomzer,This set is awesome! I bought one for myself and bought a second one as a gift! Good scents and a good price., 4-piece Gift Set
84,5,True,2017-04-05,A2RWJPXMBFGCF0,B00006L9LC,N. Donastorg,"This body wash smells amazing. Let me see how to describe ""amazing"" as a scent. It smells like you just showered in a botanical garden on a beautiful spring day.  Plus your skin feels silky smooth thereafter.", 281
85,5,True,2017-04-03,A15IKO3Q6RSA1V,B00006L9LC,Amazon Customer,Great product, 38
86,5,True,2017-03-26,A29GCQQLNLUJGG,B00006L9LC,Martina,"Frequently get compliments on my beautiful shiny hair, great shampoo", 104
87,5,True,2017-03-23,A31MET9QVHSWD9,B00006L9LC,Textile,Love this product. Cleans hair quickly and leaves hair soft., 41
88,5,True,2017-03-22,A2CY3ZL67BZKEU,B00006L9LC,Stacey J.,Best shampoo/conditioner hands down, 6
89,5,True,2017-03-20,A1MZIY3MPR5LRS,B00006L9LC,Amazon Customer,love it, 1000ml/33.8oz
90,5,True,2017-03-17,A3V6HGWB3AKM8O,B00006L9LC,J W. in SF,Excellent product.  The package arrived quickly in perfect condition.  I definitely recommend this product  and this particular seller., 403
91,5,True,2017-03-12,A2YNPGFDPBKZ3L,B00006L9LC,Amy L.,"Very pleased with Uhuru Naturals Hair Growth Shampoo.  It stopped my hair loss, and adds volume.  My hair has even developed waves that it never had before, plus it's soft and silky. I'll certainly buy more of this excellent shampoo when I finish the bottle I have now.  I've already recommended it to friends. This shampoo is gentle to my baby fine hair and leaves it really clean.", 28
92,4,True,2017-03-09,AIQ0ABOHK58F6,B00006L9LC,Caridad J.,Very happy with my first time using it my hair was manageable, 28
93,5,True,2017-03-09,A20Y9PNINSXAE2,B00006L9LC,Doug,Love this shampoo. Just wish Axe still made it., 43
94,5,True,2017-03-05,A36CT6022EC8KS,B00006L9LC,Amazon Customer,Smells great!! Thanks for the fast delivery!, 468
95,5,True,2017-02-28,A1JJBKKS6FCOQJ,B00006L9LC,Claudia Sanchez,These are my favorite eye shadows! Box even comes with instructions. Love it!, 351
96,5,True,2017-02-28,A3LR34UDLT38PG,B00006L9LC,Charity Arnett,"Love Love Love, Very hard to find", 511
97,5,True,2017-02-26,A1ZN7IP615TNQO,B00006L9LC,Kathleen B.,Nice light mousse.  Gives some control to old gray wild hair., 58
98,5,True,2017-02-24,A2N4OUX2ORC859,B00006L9LC,Dave,Wife uses this cream always. Hard to get., 515
99,5,True,2017-02-15,A14R11HV2H7AVW,B00006L9LC,Diane Gordon,Also a very good product, 1 Pound
100,5,True,2017-02-14,A3GM8H7MO9I4H7,B00006L9LC,edazzle,Excellent product, 120
101,5,True,2017-02-06,ACK0K1VME15R7,B00006L9LC,KilDiKat,Best stuff on earth for your hair!, 56
102,5,True,2017-02-03,AAB7D8L1RXAK8,B00006L9LC,Teresa Lamb,Love this cream. I have been using it for over 6 years and will continue to use it as long as it is available. I LOVE it!!!, 370
103,5,True,2017-02-02,A3A8F2URN7MEPR,B00006L9LC,Sheila T.,My favorite powder!, 509
104,5,False,2017-02-01,A2IPGCHPX1WYHH,B00006L9LC,Amazon Customer,I have really sensitive skin therefore never was able to use any type of scrub all my life.  But a friend advice me to try this one because my skin started to smell pretty bad during certain  times of the month.  Causes no irritation and I was able to use it everyday.  Seems to get rid of the oily smell from my face., 561
105,5,True,2017-02-01,A9MRAYG97FQML,B00006L9LC,Amazon Customer,Excellent Amla powder! Very fresh and edible quality. You need be little competitive on the price though., 1 Pound
106,5,True,2017-01-31,AQN8A38PJ8V41,B00006L9LC,pamela,Highly recommend, 32
107,5,True,2017-01-31,ATEX4XVEQYN7B,B00006L9LC,BERNARD POMORSKI,gives a nice body to thin hair., 15
108,5,True,2017-01-25,AM6VM4AHB7CG4,B00006L9LC,Niclana Tolmasoff,I can't live without this shampoo!, 28
109,4,True,2017-01-23,AIWVB6601DJOO,B00006L9LC,Amazon Customer,Love this stuff., 6
110,5,False,2017-01-21,A3IGHIOZ898AWG,B00006L9LC,Julie,"This shampoo is so refreshing! I love how clean and tingly it makes my scalp feel, and it smells really good, too!", 28
111,5,True,2017-01-20,A27VWQXCDU4U9D,B00006L9LC,Linda sommer,Love it, 364
112,5,True,2017-01-16,A23S9B3XGR5CMX,B00006L9LC,Andrew Albeck,Great product!  This is a wonderful addition to any dopp kit to keep your face lettuce looking sharp., 49
113,5,True,2017-01-16,ASWLL1VJA7WOG,B00006L9LC,Samuel Sneed,Great product... just what I wanted.  Works great and very stylish., 49
114,5,True,2017-01-15,AZ520NWW40I9B,B00006L9LC,Abigail Harden,My male roommate and I both love this shampoo! My hair looks healthy and never dry or frizzy when I use it consistently. All the Theorie products I have used have been excellent and do exactly what they promise. I would recommend it to anyone!, 6
115,5,True,2017-01-15,A1S7I4K5PNOUDD,B00006L9LC,Sue,Google the uses and you will be a buyer., 1 Pound
116,5,True,2017-01-13,A289XUH39KKR89,B00006L9LC,E E.,"Great price!  Product received exactly as described, in perfect condition and  on time.  Thank You", 18
117,5,True,2017-01-07,A2B33XXX3MZC6R,B00006L9LC,Tom Waters,Great comb! Very well made and the wood even has a nice scent. Pairs well with Northern Fir's beard oil!, 49
118,5,True,2017-01-05,A2T6UI6V98KT94,B00006L9LC,Joi Sanders,This is one of the most beautiful lotions I have ever used. Compliments on a daily basis! It is so soft and smooth. Love it!, 586
119,5,True,2017-01-05,A1C13KVGOWMI6A,B00006L9LC,Heather,Great product and good service., 78
120,5,False,2016-12-29,A2KPY1O5YG9B6I,B00006L9LC,lhasa lover,"I'm 63 with still nice hair but so much less than when I was younger, before menopause, so I bought both the shampoo and this conditioner to help strengthen and grow my hair possibly thicker again...the shampoo made my hair feel so stiff it was hard to push my fingers thru my scalp, I wasn't happy, but rinsed and put in this conditioner..........WOW..... my hair turned into silk.....my scalp felt cool like there is mint in the conditioner.....hope it works, I will stick it out because of the conditioner.....I also never understand when a company make the shampoo bottle larger than the conditioner bottle...we all use more conditioner than shampoo, ..i will update in a couple of months", 28
121,5,True,2016-12-26,A7QMV1ENEUAC9,B00006L9LC,mary,"love this shampoo, came very quickly, thank you.", 1000ml/33.8oz
122,5,True,2016-12-20,A22WRCL3T66COU,B00006L9LC,Moniqueici,Eau de Hadrien is my favorite of the Annick Goutal line & the lotion is lovely., 352
123,5,True,2016-12-19,AXZPSRWKSDO27,B00006L9LC,KPM,"Christmas present.
My son loves the variety. Inviting look.
Efficient packaging. Arrived in a few days.  :)", 463
124,5,True,2016-12-15,A2L5BRKS3Q0J0D,B00006L9LC,derek n.,Great, 337
125,5,True,2016-12-14,A2IRWVZEOPD2BG,B00006L9LC,David,I appreciate craftsmanship and Northern Fir provided that with this comb. Great relic for any man who appreciates the finer things in life. I use it for my hair and have no issues what-so-ever. Thanks!, 49
126,5,True,2016-12-14,A1JL5CJJDECOH4,B00006L9LC,Tony T.,Great product!, 29.2
127,5,True,2016-12-12,A1XCIY3DWUIC3C,B00006L9LC,R Goldburg,I have been using this shampoo for a long time and was happy to have it available to me a 4 pack; to me it's the best shampoo available, 1 Pack
128,5,True,2016-12-09,A2X7VCBZQROXVM,B00006L9LC,Amazon Customer,I love this product. Really makes my hair moisturized and silky, 6
129,5,True,2016-12-08,A23ZC494ZWNEE0,B00006L9LC,Amazon Customer,This is a great product. I have been using it since two years ago. It is very gentle on your hair!, 84
130,5,True,2016-12-06,A4IV41UZ0Y789,B00006L9LC,Robert Young,Great product and fast service., 29.2
131,5,True,2016-11-24,A3EZ4SUXGM5DKJ,B00006L9LC,Diane C,"Looks very well-made and colors are rich.  A bit larger than I expected (shame on me for not looking at dimensions), but I think it will look lovely in my daughter's hair.", 505
132,5,True,2016-11-18,AY8XPOPF0OVO5,B00006L9LC,ParadiseValley,This product works very well for me. I have tried so many things for straightening my hair. I use various creams and lotions while my hair is wet but I use this after I blowdry and before I flat iron.. My hair is curly (super curly at my scalp and very frizzy through the body of my hair). I have a lot of hair but it is thin and fine in texture. Before I flatiron I mist this all over my head. Be cautious not to overdo it or spray to close.  Even though looks like a big can of hairspray it is a spray shine that elimates frizz and makes your hair smooth and soft. 3 cans will last me an eternity but the price was great and a must have any time I straighten my hair, 1
133,5,True,2016-11-14,A33EQHCO5TZIP5,B00006L9LC,ISHY,always good to freshen up when traveling, one size
134,5,True,2016-11-14,A35TPYOPNIDM7,B00006L9LC,Amazon Customer,"Great smell and good product. I don't know that it moisturizes our daughters hair as much as we'd like, but the Tangle Taming Conditioner is a good follow-up for this shampoo.", 55
135,5,True,2016-11-14,A3UXFQUZ6P1JRB,B00006L9LC,BabyBoomer55,"Smells incredible...almost a musk, deep scent. Lathers very well. You feel clean all day!", 281
136,5,True,2016-11-13,ATCQ2K4QG03T4,B00006L9LC,Kimmie,I like this shampoo. It makes my hair feel nice and soft. I'm in my 50's and on medication. So my hair always feels dry. But when i use this shampoo it makes my hair so much softer., 1.69oz
137,5,True,2016-11-12,A2SEHJL7RHNW0Q,B00006L9LC,Bob in Columbus,"Purchased this for my wife, she loves the product.  She uses it very night, can see a difference in her skin.", 364
138,5,True,2016-11-05,A25NX4BU2GD908,B00006L9LC,anne lacy,Very nice fragrance., 11 fl. oz.
139,5,True,2016-11-02,A1TYZNOET5SXZF,B00006L9LC,kimogata,makes hair smell really good, 98
140,5,False,2016-10-30,A15NM9DLEOB4XI,B00006L9LC,RedEarth,I really like the way this product  enhances my hair's natural curl without being sticky.  Lightweight and non-greasy., 13
141,5,True,2016-10-26,AMYTL79JMGQ6D,B00006L9LC,Mary Ann,To me this shampoo has to best smell. It cleans very well without drying my hair out. My favorite shampoo., 25.3
142,5,True,2016-10-25,A392UWXM2CDJ6V,B00006L9LC,Kathy B.,"Great stuff, wish I could find more", 30mla144
143,5,True,2016-10-22,A1UARSQWRRYEB7,B00006L9LC,LW,Love this shampoo! Recommended by a friend! Color really lasts!, 90
144,5,True,2016-10-20,A3KXVT8LE6X9LR,B00006L9LC,415sf,ive been using this cleanser for a few years now. i only found it in korea and brought a few tubes every time i visit (once a year). gentle but gets all the crap off. so happy to see it available stateside now., 561
145,5,False,2016-10-19,A3JQ30S858QNER,B00006L9LC,Joseph D. Drypolcher,"So excited to see this on amazon! I found this hem while traveling and couldn't find it anywhere when I got him, this scrub is seriously the best. Gentle and effective.", 561
146,5,True,2016-10-17,A38EDCGATXMRI3,B00006L9LC,Amazon Customer,Good Stuff!, 13 Fl. Oz
